Cuenta,Tipo de Documento,Identificacion Cliente,Nombre Cliente,Documento Afectado,Fecha emision,Fecha Vencimiento,Suma de Edad Cartera,Suma de Saldo Total Cartera,email
13050502,FVA ,901132402,4 PODER O.R. COMUNICACIONES SAS,30519,2022/06/22,2022/07/22,104," $  3.698.800,00 ",comprascuartopoder@gmail.com
13050502,FVA ,901132402,4 PODER O.R. COMUNICACIONES SAS,33408,2022/08/01,2022/08/31,64," $  4.504.000,00 ",comprascuartopoder@gmail.com
13050502,FVA ,890115406,A CONSTRUIR S A,38324,2022/09/28,2022/10/28,6," $  284.500,00 ",aortega@aconstruir.co
13050502,FVA ,900975111,ABASTECEDORA DE FERRETERIAS SAS,38920,2022/10/09,2022/11/08,-5," $  121.800,00 ",cvela@grupotoolcraft.com
13050502,FVA ,900570383,ACEROS TURIA DE COLOMBIA SAS,28438,2022/05/24,2022/06/23,133," $  495.585,40 ",facturaselectronicasprov@turia-group.com
13050502,FVA ,900570383,ACEROS TURIA DE COLOMBIA SAS,28439,2022/05/24,2022/06/23,133," $  69.900,00 ",facturaselectronicasprov@turia-group.com
13050502,FVA ,900570383,ACEROS TURIA DE COLOMBIA SAS,28440,2022/05/24,2022/06/23,133," $  61.900,00 ",facturaselectronicasprov@turia-group.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,32107,2022/07/18,2022/08/17,78," $  190.877,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,33522,2022/08/02,2022/09/01,63," $  630.369,84 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,33523,2022/08/02,2022/09/01,63," $  630.369,84 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,34637,2022/08/18,2022/09/17,47," $  20.615,50 ",f_sierra@aviatur.com
